source_id,catalogs,ra,dec,radial_velocity,lamost_rv,delta_rv,V_GSR_gaia_rv,P_unbound_gaia_rv,V_GSR_lamost_rv,P_unbound_lamost_rv,V_GSR_delta,P_unbound_delta
1272009269712167680,li2021,229.67194479127718,28.33638837285944,-129.21355,-150.93,-21.71645324707032,338.04549412990036,0.0,340.4286218686485,0.0,2.3831277387481578,0.0
4430017496040440704,li2021,238.03746954337586,6.898276415721092,-141.89389,-142.36,-0.46610961914063864,282.35470776575914,0.0,282.4825481844681,0.0,0.12784041870895635,0.0
1270017401319252096,li2021,230.71055665183783,24.739791438268806,-7.2109814,-14.52,-7.309018630981445,376.6558828399417,0.0,375.00093970094434,0.0,-1.6549431389973392,0.0
1341901032000157056,li2021,258.1344791830912,40.473522363151126,-222.7845,-224.04,-1.2554998779296795,353.201400244446,0.0,353.3187343850089,0.0,0.11733414056288893,0.0
4571076144869370240,li2021,261.9263554568088,26.714799906114255,-214.64246,-218.48,-3.8375439453124898,297.8320014974281,0.0,298.36796470604287,0.0,0.5359632086147599,0.0
1292239459027680128,"li2021,liao2024",228.2875129808865,37.56074191364901,-283.17245,-297.33,-14.157545166015609,388.19626863860105,0.0,394.2713568828904,0.0,6.075088244289361,0.0
3793377208170393984,"li2021,liao2024",173.4868275289088,-2.4725128000322907,296.89285,291.52,-5.372852783203143,452.79806997375385,0.0,450.9009103404497,0.0,-1.8971596333041703,0.0
3710479632074215424,li2021,190.7967826803646,7.651503881980607,154.51297,152.92,-1.5929699707031375,378.2402724359513,0.0,377.86276845648644,0.0,-0.3775039794648478,0.0
4419532656233649024,li2021,225.10103279044694,0.019144865116641544,53.157364,51.35,-1.807363891601561,347.1921293662544,0.0,346.8880266784185,0.0,-0.30410268783589345,0.0
4357393447354698496,li2021,248.08939412400179,-3.9275391409904103,175.01085,167.3,-7.710848999023426,405.56516360552183,0.0,401.18098618195154,0.0,-4.384177423570293,0.0
1192061374074988544,"li2021,liao2024",239.85429437114988,14.181011058741259,133.09555,127.59,-5.505550537109372,407.294629597573,0.0,404.28922462011485,0.0,-3.00540497745817,0.0
4447040203783595392,li2021,249.77862088704632,10.588942741426393,-126.906204,-132.69,-5.783795776367185,240.90535133827777,0.0,241.44947333614417,0.0,0.544121997866398,0.0
